Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2025-01-06 06:30:00 AM +0000,Barbell Bench Press,10,30.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-06 06:30:00 AM +0000,Barbell Bench Press,10,50.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-06 06:30:00 AM +0000,Barbell Bench Press,10,50.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-06 06:30:00 AM +0000,Bent Over Barbell Row,10,24.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-06 06:30:00 AM +0000,Bent Over Barbell Row,10,40.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-06 06:30:00 AM +0000,Bent Over Barbell Row,10,40.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-06 06:30:00 AM +0000,Dumbbell Shoulder Press,10,9.6,0.0,0.0,0.0,0.0,true,,2.0
2025-01-06 06:30:00 AM +0000,Dumbbell Shoulder Press,12,16.0,0.0,0.0,0.0,0.0,false,,2.0
2025-01-06 06:30:00 AM +0000,Dumbbell Shoulder Press,12,16.0,0.0,0.0,0.0,0.0,false,,2.0
2025-01-06 06:30:00 AM +0000,Dip,10,0.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-06 06:30:00 AM +0000,Dip,12,0.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-06 06:30:00 AM +0000,Dip,12,0.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-08 06:30:00 AM +0000,Barbell Back Squat,10,39.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-08 06:30:00 AM +0000,Barbell Back Squat,8,65.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-08 06:30:00 AM +0000,Barbell Back Squat,8,65.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-08 06:30:00 AM +0000,Romanian Deadlift,10,27.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-08 06:30:00 AM +0000,Romanian Deadlift,10,45.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-08 06:30:00 AM +0000,Romanian Deadlift,10,45.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-08 06:30:00 AM +0000,Leg Press,10,78.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-08 06:30:00 AM +0000,Leg Press,12,130.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-08 06:30:00 AM +0000,Leg Press,12,130.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-08 06:30:00 AM +0000,Standing Calf Raise,10,42.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-08 06:30:00 AM +0000,Standing Calf Raise,15,70.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-08 06:30:00 AM +0000,Standing Calf Raise,15,70.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-10 06:30:00 AM +0000,Barbell Deadlift,10,51.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-10 06:30:00 AM +0000,Barbell Deadlift,8,85.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-10 06:30:00 AM +0000,Barbell Deadlift,8,85.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-10 06:30:00 AM +0000,Pull Up,10,0.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-10 06:30:00 AM +0000,Pull Up,8,0.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-10 06:30:00 AM +0000,Pull Up,8,0.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-10 06:30:00 AM +0000,Leg Curl,10,24.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-10 06:30:00 AM +0000,Leg Curl,12,40.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-10 06:30:00 AM +0000,Leg Curl,12,40.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-10 06:30:00 AM +0000,Barbell Curl,10,10.799999999999999,0.0,0.0,0.0,0.0,true,,1.0
2025-01-10 06:30:00 AM +0000,Barbell Curl,10,18.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-10 06:30:00 AM +0000,Barbell Curl,10,18.0,0.0,0.0,0.0,0.0,false,,1.0
2025-01-12 06:30:00 AM +0000,Barbell Back Squat,10,39.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-12 06:30:00 AM +0000,Barbell Back Squat,8,66.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-12 06:30:00 AM +0000,Barbell Back Squat,8,66.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-12 06:30:00 AM +0000,Romanian Deadlift,10,27.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-12 06:30:00 AM +0000,Romanian Deadlift,10,46.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-12 06:30:00 AM +0000,Romanian Deadlift,10,46.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-12 06:30:00 AM +0000,Leg Press,10,78.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-12 06:30:00 AM +0000,Leg Press,12,131.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-12 06:30:00 AM +0000,Leg Press,12,131.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-12 06:30:00 AM +0000,Standing Calf Raise,10,42.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-12 06:30:00 AM +0000,Standing Calf Raise,15,71.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-12 06:30:00 AM +0000,Standing Calf Raise,15,71.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-14 06:30:00 AM +0000,Barbell Deadlift,10,51.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-14 06:30:00 AM +0000,Barbell Deadlift,8,86.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-14 06:30:00 AM +0000,Barbell Deadlift,8,86.25,0.0,0.0,0.0,0.0,false,,1.0
2025-01-14 06:30:00 AM +0000,Pull Up,10,0.0,0.0,0.0,0.0,0.0,true,,1.0
2025-01-14 06:30:00 AM +0000,Pull Up,8,1.25,0.0,0.0,0.0,0.0,false,,1.0
